path,role,size_bytes,sha256,line_count,instruction_count,org_count,db_directive_count,db_source_bytes,uses_tabl,uses_tabh,call_count,jmp_count,sram_addresses,highest_written_word,span_words,hole_words,overlap_count,out_of_range_count,bin_artifacts,map_artifacts
ssd1306_oled_avatar_64x64_table_db_fixed.asm,example_or_application,7503,ea98c03d14055f792de8e7bd96b3ab451d7efdd9a3ac74e5589b37734094e532,300,205,3,32,510,True,True,61,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8C 0x8D 0x8F 0x90 0x92 0x93 0x9F 0xA1 0xA2 0xA4 0xA6 0xA7 0xA8 0xA9 0xAA 0xAB 0xAD 0xAE 0xAF 0xB1 0xB5 0xB6 0xB7 0xB9 0xBA 0xBB 0xBD 0xBE 0xBF,0x01CB,460,0,0,0,build/ssd1306_oled_avatar_64x64_table_db_fixed.bin,build/ssd1306_oled_avatar_64x64_table_db_fixed.map
ssd1306_oled_avatar_64x64_table_db_single.asm,example_or_application,9822,6d29e9a0f3de6a9ea7d8f952ad347b3fa8d0125bfddfdd7b08ee6a73ae9f3144,777,205,3,510,510,True,True,61,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8C 0x8D 0x8E 0x8F 0x90 0x91 0x92 0x96 0x9A 0x9B 0x9C 0x9E 0x9F 0xA1 0xA2 0xA4 0xA6 0xA7 0xA8 0xAA 0xAB 0xAD 0xAE 0xAF 0xB4 0xB5 0xB6 0xBA 0xBB 0xBE 0xBF,0x01FE,511,0,204,0,.embeddedskills/build/ssd1306_oled_avatar_64x64_table_db_single.bin,.embeddedskills/build/ssd1306_oled_avatar_64x64_table_db_single.map
ssd1306_oled_avatar_64x64_table_tabh_first.asm,example_or_application,7456,4a2a3e5bdac66e2ae1feb5b3c156bcda622da8771bf441db2d8d67f9d1fec656,299,205,3,32,510,True,True,61,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8C 0x8D 0x8E 0x8F 0x90 0x91 0x92 0x96 0x9A 0x9B 0x9C 0x9E 0x9F 0xA1 0xA2 0xA4 0xA6 0xA7 0xA8 0xAA 0xAB 0xAD 0xAE 0xAF 0xB4 0xB5 0xB6 0xBA 0xBB 0xBE 0xBF,0x01CB,460,0,0,0,.embeddedskills/build/ssd1306_oled_avatar_64x64_table_tabh_first.bin,.embeddedskills/build/ssd1306_oled_avatar_64x64_table_tabh_first.map
ssd1306_oled_chinese_long_ge_wei_wu.asm,example_or_application,13958,a3da913288b9bc34095f696fb3da6185e112d4fdad576ca2a5213d6293a88682,653,445,6,0,0,False,False,185,12,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x8D 0x9E 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF 0xB6 0xBA 0xBE,0x034C,845,400,0,0,.embeddedskills/build/ssd1306_oled_chinese_long_ge_wei_wu.bin,.embeddedskills/build/ssd1306_oled_chinese_long_ge_wei_wu.map
ssd1306_oled_chinese_wang_ya_ruo_da_shuai_ge.asm,example_or_application,16495,d82e15d817f1f9b34c99bae9d94ec59e4b4519f119b13d654e5ed9f35cdb601c,809,591,6,0,0,False,False,259,12,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF 0xBA 0xBE,0x03CC,973,382,0,0,.embeddedskills/build/ssd1306_oled_chinese_wang_ya_ruo_da_shuai_ge.bin,.embeddedskills/build/ssd1306_oled_chinese_wang_ya_ruo_da_shuai_ge.map
ssd1306_oled_db_byte_order_probe.asm,probe,7549,6c8f9d4afe8b0459cad3aa70969667b5663ee9c6825188aaec90a310fda78e37,410,292,7,16,32,True,True,104,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAA 0xAE 0xAF 0xBD,0x0255,598,290,0,0,build/ssd1306_oled_db_byte_order_probe.bin,build/ssd1306_oled_db_byte_order_probe.map
ssd1306_oled_db_byte_order_tabh_first_probe.asm,probe,7602,6e5d7c557f7ae69a07ac84de36a76f2d6403f601c9e06e84414bf3bc2a8fd2f5,410,292,7,16,32,True,True,104,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAA 0xAE 0xAF 0xBD,0x0255,598,290,0,0,build/ssd1306_oled_db_byte_order_tabh_first_probe.bin,build/ssd1306_oled_db_byte_order_tabh_first_probe.map
ssd1306_oled_db_pack_probe_stripes.asm,probe,7383,fc7539be279977005096c285ef47e0ae8d14bd34abe7d87b8f90427361e9d4a0,299,205,3,32,510,True,True,61,13,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x01CB,460,0,0,0,.embeddedskills/build/ssd1306_oled_db_pack_probe_stripes.bin,.embeddedskills/build/ssd1306_oled_db_pack_probe_stripes.map
ssd1306_oled_db_raw_order_probe.asm,probe,8445,2b8beff9b000d9f0f6202485f950026d9afa7d1d5790456ab1fc5053c4cfd4b1,459,331,8,16,32,True,True,119,14,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8D 0xA1 0xA4 0xA6 0xA8 0xAA 0xAE 0xAF 0xBD,0x026B,620,273,0,0,build/ssd1306_oled_db_raw_order_probe.bin,build/ssd1306_oled_db_raw_order_probe.map
ssd1306_oled_db_table_marker_probe.asm,probe,6651,b82489e7da9a2d9fe86465926877d701faf23227d269656f7be6ad2729c924b4,350,234,7,16,32,True,True,73,14,0x80 0x81 0x82 0x83 0x84 0x85 0x86 0x87 0x88 0x89 0x8A 0x8D 0xA1 0xA4 0xA6 0xA8 0xAE 0xAF,0x021B,540,290,0,0,build/ssd1306_oled_db_table_marker_probe.bin,build/ssd1306_oled_db_table_marker_probe.map
ssd1306_oled_force_on_no_table.asm,example_or_application,3485,812e3fd32e6599191b783f546d5366e2c61d28cd93dc0015f738ab3d82d68533,193,137,5,0,0,False,False,34,8,0x80 0x81 0x82 0x85 0x86 0x87 0x8D 0xA1 0xA4 0xA5 0xA6 0xA8 0xAE 0xAF,0x01C9,458,321,0,0,build/ssd1306_oled_force_on_no_table.bin,build/ssd1306_oled_force_on_no_table.map
